guidetpye,subjID,picID,score,imprtype,age,gender,ext,agrr,con,neu,ope,choice,SID,SumWeiGA,SumWeiFO,SumWeiEY,SumWeiEB,SumWeiM,SumWeiN,MeaWeiGA,MeaWeiFO,MeaWeiEY,MeaWeiEB,MeaWeiM,MeaWeiN,MeaWeiEyN,MeaWeiNM,MeaWeiEyM,MeaWeiEyNM
eyewatch,P10,AgrF3,2,Agr,19,f,6.5,5.5,2.5,5,1.5,6,subj08F,0.04765051121390905,0,12.904942787331198,0.024930843403907173,0,75.75018911840719,4.453318805038229e-5,0,0.0029150537129729384,6.2187187338256855e-6,0,0.009933148323945344,2.8955660903227795e-5,0,0,0
eyewatch,P10,NeuF1,-1,Neu,19,f,6.5,5.5,2.5,5,1.5,3,subj08F,0.03407784391464026,0,22.883699698531828,0,0,134.10840695530842,1.7298397926213332e-5,0,0.004367951841674333,0,0,0.013994407487770888,6.112689795934993e-5,0,0,0
eyewatch,P10,OpeM2,-3,Ope,19,f,6.5,5.5,2.5,5,1.5,1,subj08F,0,0,13.037577390887993,0,2.0856982315419526,93.72865157388587,0,0,0.002299801974049743,0,2.866151204537519e-4,0.009181882011548381,2.1116510375650792e-5,2.631666218732077e-6,6.591580198120434e-7,6.052311164880053e-9
eyewatch,P10,ExtM5,-2,Ext,19,f,6.5,5.5,2.5,5,1.5,2,subj08F,0,0,14.325508898823035,0.8601941375546048,0.7835104598231214,143.63994831647022,0,0,0.002342683384926089,1.5806580991448087e-4,1.3595531143902853e-4,0.01805429214636378,4.2295490237888005e-5,2.4545769115700942e-6,3.18500249200664e-7,5.750296547758455e-9
eyewatch,P10,AgrF5,1,Agr,19,f,6.5,5.5,2.5,5,1.5,5,subj08F,0,0,9.061546423314745,0,0,191.25314722655278,0,0,0.0018313553806214116,0,0,0.019761639515039554,3.6190584855768386e-5,0,0,0
eyewatch,P10,AgrM1,-1,Agr,19,f,6.5,5.5,2.5,5,1.5,3,subj08F,0,40.99993670848652,3.2051435892242583,0,0,133.10887739813148,0,0.002516568666123651,8.193107334417838e-4,0,0,0.01741123314560255,1.4265210198649522e-5,0,0,0
eyewatch,P10,OpeF4,0,Ope,19,f,6.5,5.5,2.5,5,1.5,4,subj08F,5.5478959121034425e-6,0,56.607119001788696,0.004408486413020394,0,99.60272273089805,2.630581276483377e-9,0,0.008837957689584496,8.147267442284963e-7,0,0.011379266849182914,1.0056947895157007e-4,0,0,0
eyewatch,P10,AgrM4,-1,Agr,19,f,6.5,5.5,2.5,5,1.5,3,subj08F,0,0,16.153718057347046,0,0,109.8161336839102,0,0,0.004139855985993605,0,0,0.014489528128237261,5.998455975590574e-5,0,0,0
eyewatch,P10,OpeF5,2,Ope,19,f,6.5,5.5,2.5,5,1.5,6,subj08F,0,0,77.6745133696515,0.0051883453638267105,14.922615053500419,39.42725778019726,0,0,0.012851507837467158,7.258457420014984e-7,0.0016190316863947509,0.004182819624463957,5.375553918650998e-5,6.772117510480939e-6,2.080699840680981e-5,8.703192126219436e-8
eyewatch,P10,OpeM1,1,Ope,19,f,6.5,5.5,2.5,5,1.5,5,subj08F,0,37.55641925025821,4.575615763257961,0,3.7254151847853016,99.82426304555683,0,0.0017798407303093791,6.818083390341173e-4,0,4.1648017716996104e-4,0.009237000374345964,6.297863882890341e-6,3.847027552426604e-6,2.8395965783688606e-7,2.622935465738468e-9
